milestone, 1, 2, 3, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100
172004 , 176558 , 179013 , 182358 , 184982 , 192245 , 192823 , 194600 , 194879 , 195200 , 195627 , 195813 , 196187 , 196161 , 
55197.4 , 60309.3 , 61680.4 , 65538.3 , 72327.8 , 81421.8 , 82904 , 84437.1 , 85388.9 , 85651.1 , 86249.5 , 86226 , 86667.9 , 86727.7 , 
173356 , 176806 , 178698 , 180560 , 182798 , 192612 , 193523 , 195005 , 195479 , 195705 , 195732 , 195781 , 195990 , 195927 , 
216589 , 216945 , 217383 , 218203 , 219196 , 220186 , 220427 , 220634 , 220838 , 221110 , 221162 , 221645 , 221735 , 221847 , 
220796 , 221524 , 221847 , 222863 , 223846 , 224672 , 225000 , 225796 , 226275 , 226917 , 227329 , 227834 , 227964 , 228172 , 
47315.8 , 49881.7 , 52947.2 , 56566.1 , 62178.6 , 73243.3 , 74189.8 , 77110.6 , 78739.8 , 79432.2 , 80150.3 , 80440.8 , 81517.5 , 81521 , 
5901.44 , 7175.34 , 7852.4 , 8509.94 , 9612.6 , 11553.2 , 11690.5 , 12086.9 , 12230.9 , 12421 , 12557.2 , 12560.2 , 12563.5 , 12563.8 , 
41528.1 , 44148.3 , 45780.7 , 48129.8 , 54424.6 , 62841.8 , 63655 , 66192.7 , 66830.5 , 67496.8 , 68366.2 , 68504.1 , 68927.3 , 68927.3 , 
227010 , 227456 , 228172 , 228769 , 229578 , 230854 , 230974 , 231165 , 231264 , 231248 , 231263 , 231241 , 231329 , 231314 , 
17566.9 , 18640.6 , 19190.9 , 19871.6 , 21367.6 , 24947.1 , 25265.9 , 26381.8 , 26536.4 , 26711.5 , 26785.1 , 26833.9 , 26879.7 , 26879.7 , 
12042.7 , 13498.3 , 13884.1 , 14620.3 , 15894.4 , 18706.2 , 19077.4 , 19849.7 , 20103.8 , 20223.5 , 20416.9 , 20484.9 , 20651.2 , 20651.2 , 
51840.5 , 52151.9 , 52375.4 , 52642.5 , 53031.6 , 53492.6 , 53656.7 , 53958 , 54117.6 , 54188.4 , 54178.5 , 54538.9 , 54601.5 , 54496 , 
2378.06 , 2747.3 , 2852.58 , 3133.78 , 3338.62 , 4149.24 , 4248.5 , 4392.96 , 4467.34 , 4549.56 , 4590.58 , 4611.5 , 4641.04 , 4641.04 , 
