milestone, 1, 2, 3, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100
179244 , 182811 , 185812 , 188731 , 191887 , 193246 , 193625 , 201293 , 201556 , 201984 , 201984 , 201984 , 201984 , 201984 , 
61077.7 , 66627.8 , 69728 , 74145.5 , 79556.3 , 82516.2 , 83438.3 , 86771.5 , 86830.9 , 86887.3 , 86943.5 , 87056.7 , 87056.7 , 87056.7 , 
177140 , 181525 , 183176 , 185227 , 187537 , 190053 , 190704 , 199000 , 199353 , 199441 , 199441 , 199441 , 199441 , 199441 , 
219395 , 220661 , 221051 , 222269 , 223594 , 223898 , 224175 , 230239 , 230493 , 230778 , 230778 , 230778 , 230778 , 230778 , 
223583 , 225653 , 226876 , 228338 , 229177 , 229573 , 229812 , 235377 , 235657 , 236031 , 236126 , 236319 , 236319 , 236319 , 
51957.3 , 58484.4 , 61652.1 , 65888.9 , 70740.5 , 74041.7 , 75126.7 , 79105.6 , 79402.6 , 79571.1 , 79571.1 , 79571.1 , 79571.1 , 79571.1 , 
8387.24 , 9240.7 , 9646.24 , 10026.4 , 10169.5 , 10181.9 , 10183.1 , 10717.3 , 10717.3 , 10717.3 , 10717.3 , 10717.3 , 10717.3 , 10717.3 , 
44678.3 , 49473.6 , 51683.9 , 54634.9 , 58964.4 , 61473.7 , 62773.1 , 67331 , 67432.2 , 67432.2 , 67432.2 , 67432.2 , 67432.2 , 67432.2 , 
230193 , 231444 , 231562 , 231946 , 232370 , 232568 , 232657 , 237306 , 237577 , 238016 , 238106 , 238374 , 238374 , 238374 , 
18705.7 , 20367.1 , 21146.3 , 22552.9 , 23983.5 , 25728.4 , 26041 , 26831.3 , 26850 , 26850 , 26850 , 26850 , 26850 , 26850 , 
13835.5 , 15383.2 , 16189.8 , 16957.3 , 17903.3 , 18442.3 , 18718.7 , 19876.9 , 19934.9 , 19951.8 , 19951.8 , 19951.8 , 19951.8 , 19953.8 , 
53446 , 54527.3 , 55080.7 , 55614.1 , 56284.3 , 56364.1 , 56477.9 , 57577.5 , 57578 , 57600 , 57615.9 , 57638.4 , 57638.4 , 57638.4 , 
2817.62 , 3246.52 , 3402.94 , 3540.92 , 3668.3 , 3707.9 , 3727.18 , 3871.46 , 3882.54 , 3910.94 , 3922.34 , 3922.34 , 3922.34 , 3922.34 , 
46299.6 , 47590.3 , 48154.2 , 48837.5 , 49699.2 , 49938.4 , 50168.2 , 52133.1 , 52155.9 , 52238.6 , 52238.6 , 52238.6 , 52260.3 , 52260.3 , 
60072.9 , 60512.9 , 60807.6 , 61121.2 , 61325.3 , 61609.1 , 61636.5 , 61938.4 , 61958.5 , 61958.5 , 61958.5 , 61958.5 , 61958.5 , 61958.5 , 
29879.7 , 31685.2 , 32524.3 , 33759.7 , 35359.4 , 37889.4 , 38118.2 , 38388.4 , 38525.2 , 38525.2 , 38525.2 , 38525.2 , 38525.2 , 38525.2 , 
10264.1 , 11902.2 , 12458 , 13323.9 , 14082.3 , 14384.7 , 14566.6 , 15446.3 , 15465.2 , 15504.4 , 15513.5 , 15506.7 , 15506.7 , 15506.7 , 
15557.4 , 16782.2 , 17593.1 , 18619.9 , 19664.4 , 20185.5 , 20425 , 21567.7 , 21567.7 , 21619.1 , 21610.9 , 21643 , 21645.7 , 21645.7 , 
29316.9 , 30625.4 , 31269.4 , 32382.3 , 33862 , 36858.2 , 36964.9 , 37346 , 37346 , 37346 , 37346 , 37346 , 37346 , 37346 , 
80189 , 82429.9 , 83642.6 , 85206 , 87293.2 , 89358.5 , 89716.2 , 92665.7 , 92990 , 93084.9 , 93084.9 , 93084.9 , 93084.9 , 93084.9 , 
72002 , 75799.6 , 77073.5 , 79247 , 82174.9 , 85628.9 , 85931.6 , 87765.7 , 87832.1 , 87879 , 87879 , 87879 , 87879 , 87879 , 
98561.5 , 100491 , 101431 , 102617 , 104076 , 104707 , 104958 , 108744 , 108969 , 109109 , 109109 , 109160 , 109291 , 109291 , 
